Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Id,Customer Segment,Customer State,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Card Id,Product Category Id,Product Name,Product Price,Product Status,Shipping Mode,order_date,shipping_date,shipping_delay_days
DEBIT,3,4,91.25,314.6400146,Advance shipping,0,73,Sporting Goods,Caguas,Puerto Rico,20755,Consumer,PR,725.0,2,Fitness,18.2514534,-66.03705597,Pacific Asia,Bekasi,Indonesia,20755,77202,1360,13.10999966,0.039999999,180517,327.75,0.289999992,1,327.75,314.6400146,91.25,Southeast Asia,Java Occidental,COMPLETE,1360,73,Smart watch ,327.75,0,Standard Class,2018-01-31 22:56:00,2018-02-03 22:56:00,-1
TRANSFER,5,4,-249.0899963,311.3599854,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19492,Consumer,PR,725.0,2,Fitness,18.27945137,-66.0370636,Pacific Asia,Bikaner,India,19492,75939,1360,16.38999939,0.050000001,179254,327.75,-0.800000012,1,327.75,311.3599854,-249.0899963,South Asia,Rajastán,PENDING,1360,73,Smart watch ,327.75,0,Standard Class,2018-01-13 12:27:00,2018-01-18 12:27:00,1
CASH,4,4,-247.7799988,309.7200012,Shipping on time,0,73,Sporting Goods,San Jose,EE. UU.,19491,Consumer,CA,95125.0,2,Fitness,37.29223251,-121.881279,Pacific Asia,Bikaner,India,19491,75938,1360,18.03000069,0.059999999,179253,327.75,-0.800000012,1,327.75,309.7200012,-247.7799988,South Asia,Rajastán,CLOSED,1360,73,Smart watch ,327.75,0,Standard Class,2018-01-13 12:06:00,2018-01-17 12:06:00,0
DEBIT,3,4,22.86000061,304.8099976,Advance shipping,0,73,Sporting Goods,Los Angeles,EE. UU.,19490,Home Office,CA,90027.0,2,Fitness,34.12594605,-118.2910156,Pacific Asia,Townsville,Australia,19490,75937,1360,22.94000053,0.07,179252,327.75,0.079999998,1,327.75,304.8099976,22.86000061,Oceania,Queensland,COMPLETE,1360,73,Smart watch ,327.75,0,Standard Class,2018-01-13 11:45:00,2018-01-16 11:45:00,-1
PAYMENT,2,4,134.2100067,298.25,Advance shipping,0,73,Sporting Goods,Caguas,Puerto Rico,19489,Corporate,PR,725.0,2,Fitness,18.25376892,-66.03704834,Pacific Asia,Townsville,Australia,19489,75936,1360,29.5,0.090000004,179251,327.75,0.449999988,1,327.75,298.25,134.2100067,Oceania,Queensland,PENDING_PAYMENT,1360,73,Smart watch ,327.75,0,Standard Class,2018-01-13 11:24:00,2018-01-15 11:24:00,-2
TRANSFER,6,4,18.57999992,294.980011,Shipping canceled,0,73,Sporting Goods,Tonawanda,EE. UU.,19488,Consumer,NY,14150.0,2,Fitness,43.01396942,-78.87906647,Pacific Asia,Toowoomba,Australia,19488,75935,1360,32.77999878,0.100000001,179250,327.75,0.059999999,1,327.75,294.980011,18.57999992,Oceania,Queensland,CANCELED,1360,73,Smart watch ,327.75,0,Standard Class,2018-01-13 11:03:00,2018-01-19 11:03:00,2
DEBIT,2,1,95.18000031,288.4200134,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19487,Home Office,PR,725.0,2,Fitness,18.24253845,-66.03705597,Pacific Asia,Guangzhou,China,19487,75934,1360,39.33000183,0.119999997,179249,327.75,0.330000013,1,327.75,288.4200134,95.18000031,Eastern Asia,Guangdong,COMPLETE,1360,73,Smart watch ,327.75,0,First Class,2018-01-13 10:42:00,2018-01-15 10:42:00,1
TRANSFER,2,1,68.43000031,285.1400146,Late delivery,1,73,Sporting Goods,Miami,EE. UU.,19486,Corporate,FL,33162.0,2,Fitness,25.92886925,-80.16287231,Pacific Asia,Guangzhou,China,19486,75933,1360,42.61000061,0.129999995,179248,327.75,0.239999995,1,327.75,285.1400146,68.43000031,Eastern Asia,Guangdong,PROCESSING,1360,73,Smart watch ,327.75,0,First Class,2018-01-13 10:21:00,2018-01-15 10:21:00,1
CASH,3,2,133.7200012,278.5899963,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19485,Corporate,PR,725.0,2,Fitness,18.23322296,-66.03705597,Pacific Asia,Guangzhou,China,19485,75932,1360,49.15999985,0.150000006,179247,327.75,0.479999989,1,327.75,278.5899963,133.7200012,Eastern Asia,Guangdong,CLOSED,1360,73,Smart watch ,327.75,0,Second Class,2018-01-13 10:00:00,2018-01-16 10:00:00,1
CASH,2,1,132.1499939,275.3099976,Late delivery,1,73,Sporting Goods,San Ramon,EE. UU.,19484,Corporate,CA,94583.0,2,Fitness,37.77399063,-121.966629,Pacific Asia,Guangzhou,China,19484,75931,1360,52.43999863,0.159999996,179246,327.75,0.479999989,1,327.75,275.3099976,132.1499939,Eastern Asia,Guangdong,CLOSED,1360,73,Smart watch ,327.75,0,First Class,2018-01-13 09:39:00,2018-01-15 09:39:00,1
TRANSFER,6,2,130.5800018,272.0299988,Shipping canceled,0,73,Sporting Goods,Caguas,Puerto Rico,19483,Corporate,PR,725.0,2,Fitness,18.28284454,-66.03705597,Pacific Asia,Tokio,Japón,19483,75930,1360,55.72000122,0.170000002,179245,327.75,0.479999989,1,327.75,272.0299988,130.5800018,Eastern Asia,Tokio,SUSPECTED_FRAUD,1360,73,Smart watch ,327.75,0,Second Class,2018-01-13 09:18:00,2018-01-19 09:18:00,4
TRANSFER,5,2,45.68999863,268.7600098,Late delivery,1,73,Sporting Goods,Freeport,EE. UU.,19482,Consumer,NY,11520.0,2,Fitness,40.65486527,-73.58707428,Pacific Asia,Manado,Indonesia,19482,75929,1360,59.0,0.180000007,179244,327.75,0.170000002,1,327.75,268.7600098,45.68999863,Southeast Asia,Célebes Septentrional,PENDING,1360,73,Smart watch ,327.75,0,Second Class,2018-01-13 08:57:00,2018-01-18 08:57:00,3
TRANSFER,4,2,21.76000023,262.2000122,Late delivery,1,73,Sporting Goods,Salinas,EE. UU.,19481,Corporate,CA,93905.0,2,Fitness,36.6763382,-121.656517,Pacific Asia,Manado,Indonesia,19481,75928,1360,65.55000305,0.200000003,179243,327.75,0.079999998,1,327.75,262.2000122,21.76000023,Southeast Asia,Célebes Septentrional,PENDING,1360,73,Smart watch ,327.75,0,Second Class,2018-01-13 08:36:00,2018-01-17 08:36:00,2
